Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,,,,,,,,
2015-12-18,2.1662557125091553,2.283592412967838,2.1614744620826336,2.2674560347521813,204955200,2.1662557125091553,2.1662557125091553,2.1662557125091553,2.1662557125091553,0.0,0.0,0.0,
2015-12-21,2.230601072311402,2.2308010130253746,2.17123577895406,2.2198437147414647,128059200,2.176154998632578,2.1710220354574696,2.1687790599523806,2.166895964845496,0.0051329631751082,0.0010265926350216,0.0041063705400866,
2015-12-22,2.2728347778320312,2.282795791997171,2.2298046648463368,2.265464329536123,134044800,2.191028810817109,2.1785637200778076,2.172859676339818,2.1679500823876507,0.0124650907393015,0.0033142922558776,0.0091507984834239,
2015-12-23,2.3248300552368164,2.3284157653136344,2.295944205913762,2.3084946471477927,109896000,2.2116136176509102,2.189398263422919,2.178819299041661,2.169511077142369,0.022215354227991,0.0070945046503003,0.0151208495776907,
2015-12-24,2.3200483322143555,2.341563500225901,2.31885301977121,2.3228376985584114,48480000,2.2282958814299016,2.199076046296359,2.1843576924994137,2.1710089602774136,0.0292198351335426,0.0115195707469487,0.0177002643865938,
2015-12-28,2.319451332092285,2.319451332092285,2.254905812971901,2.303713693863149,102672000,2.2423197969164224,2.2079927341330943,2.1896554822873697,2.172485998802935,0.034327062783328,0.0160810691542246,0.0182459936291034,
2015-12-29,2.425233840942383,2.4427643322886627,2.354910794935011,2.359692045286328,145305600,2.2704604190742623,2.2240846679708195,2.198893849293449,2.17500090270482,0.0463757511034428,0.0221400055440682,0.0242357455593745,
2015-12-30,2.3632779121398926,2.423839660673197,2.3614850571302712,2.420851492996301,89592000,2.2847400333920516,2.2343952786500103,2.2053402831305644,2.1768743057837763,0.0503447547420412,0.0277809553836628,0.0225637993583783,
2015-12-31,2.2756242752075195,2.3501296651917856,2.273033937172063,2.33757922434934,175905600,2.2833376090559696,2.237449278395011,2.2080965181139747,2.1778568925442117,0.0458883306609587,0.031402430439122,0.0144859002218367,
2016-01-04,2.1365718841552734,2.1365718841552734,2.0467267106401157,2.1240214466844307,265867200,2.260758266763555,2.229976878821697,2.2052916305077512,2.177446096440839,0.0307813879418579,0.0312782219396692,-0.0004968339978113,
2016-01-05,2.117447853088379,2.1700404682830188,2.088562005466314,2.1614744791691622,132326400,2.2387105108135277,2.2216413954340437,2.2018467764913052,2.176849098994546,0.0170691153794839,0.0284364006276321,-0.0113672852481482,
2016-01-06,2.060671329498291,2.0927450507355747,2.00887529616807,2.0116646623360204,243787200,2.2113198675342605,2.20971768684621,2.1963104844523635,2.175693101288116,0.0016021806880504,0.0230695566397158,-0.0214673759516654,
2016-01-07,1.8646448850631712,2.0021026321196524,1.8618555185598136,1.9264010262806683,340348800,2.1579852548464005,2.184156738565985,2.1833039903586697,2.1725980941614997,-0.0261714837195845,0.0132213485678557,-0.0393928322874403,
2016-01-08,1.8206182718276975,1.9397490796662569,1.8122513116651944,1.9050858124328072,331819200,2.106082642074292,2.157227963252038,2.169081021004514,2.1690958073721087,-0.0511453211777457,0.0003480146187354,-0.0514933357964811,30.234632097313153
2016-01-11,1.8365557193756104,1.873210869972868,1.7510928076183283,1.858469631389561,336177600,2.0646169616591106,2.133474463705636,2.156040813097498,2.1657869507751286,-0.0688575020465251,-0.0134930887143166,-0.0553644133322085,31.48353262504014
2016-01-12,1.8985116481781008,1.926998638838075,1.820818155962733,1.885961094333024,317520000,2.0390622980466477,2.116069810703596,2.1459416301594825,2.1631274950278945,-0.0770075126569485,-0.026195973502843,-0.0508115391541054,31.29914752992586
