Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,XLY,XLY,XLY,XLY,XLY,XLY,XLY,XLY,XLY,XLY,XLY,XLY,XLY
Date,,,,,,,,,,,,,
2015-12-21,34.96395492553711,35.139404241884044,34.72552397933443,35.022436886905616,14178000,34.96395492553711,34.96395492553711,34.96395492553711,34.96395492553711,0.0,0.0,0.0,
2015-12-22,35.22037887573242,35.28786016978801,34.945957463549895,35.14390167751531,13465800,35.003404764028694,34.982949292218244,34.97401076672124,34.96650640762861,0.0204554718104503,0.00409109436209,0.0163643774483603,
2015-12-23,35.40032958984375,35.4408163089232,35.251871422069684,35.314853051020854,12049600,35.0644701218464,35.013866351301616,34.990729151941736,34.97082305620786,0.0506037705447823,0.0133936295986285,0.0372101409461538,
2015-12-24,35.30584716796875,35.42281105596851,35.27885259730386,35.34183420845462,3823600,35.10160505201907,35.03549455994362,35.0030867211977,34.974156629459216,0.0661104920754453,0.0239370020939919,0.0421734899814534,
2015-12-28,35.39582443237305,35.41831933875634,35.11690338152802,35.21587547802918,8111800,35.14686957207353,35.062185661605064,35.01848820006732,34.978352328990695,0.0846839104684633,0.0360863837688862,0.0485975266995771,
2015-12-29,35.80521011352539,35.8591958372755,35.539788027630316,35.611768992630466,11480400,35.24815273229689,35.11722450989546,35.04934003981077,34.98657976963283,0.1309282224014296,0.0550547514953949,0.0758734709060347,
2015-12-30,35.51728057861328,35.79170190436945,35.508284677284934,35.778206336256865,6437800,35.28955701634556,35.14685829276345,35.067690649175574,34.99186037469732,0.1426987235821144,0.0725835459127388,0.0701151776693756,
2015-12-31,35.16189956665039,35.54428901878064,35.1573998981101,35.350844458445366,13160400,35.26991740870015,35.147972461199515,35.07138511652753,34.99355230695556,0.1219449475006371,0.0824558262303184,0.0394891212703186,
2016-01-04,34.55907440185547,34.60856046398111,34.18118458079623,34.54107915815144,26800800,35.16055694610866,35.104350382729585,35.05129450026588,34.989229143720735,0.056206563379078,0.0772059736600704,-0.0209994102809923,
2016-01-05,34.51407241821289,34.7075169103473,34.266642219352505,34.59054959522783,14849800,35.06109778797085,35.060626089061685,35.03022696763635,34.984501216103745,0.0004716989091662,0.0618591187098895,-0.0613874198007233,
2016-01-06,34.17667007446289,34.35661900113896,33.902248733535956,34.01021671664547,20230800,34.9250319858927,34.99514786575807,34.99675414829622,34.9764630952914,-0.0701158798653693,0.0354641189948377,-0.1055799988602071,
2016-01-07,33.47488021850586,34.05971006538808,33.39839959149609,33.49737169401612,25290400,34.70193171398704,34.88253544744309,34.937072817716206,34.96152197213931,-0.1806037334560528,-0.0077494514953403,-0.1728542819607125,
2016-01-08,33.1149787902832,33.89325309200465,33.03850160359209,33.744798386145625,21595400,34.45778511034029,34.75160532469051,34.865618149973734,34.94314840814074,-0.2938202143502195,-0.0649636040663162,-0.2288566102839033,
2016-01-11,33.375892639160156,33.51085172636256,32.89003168785683,33.31291104535114,26465400,34.291340114774115,34.64970068131789,34.807197541706536,34.92755382337477,-0.358360566543773,-0.1236429965618075,-0.2347175699819654,30.056309769845683
2016-01-12,33.74480056762695,33.94724100012947,33.3534118415824,33.60983799113134,17474200,34.207257107520704,34.58267104326671,34.76553491527204,34.915785134262855,-0.3754139357460033,-0.1739971843986467,-0.2014167513473566,35.98761134270667
2016-01-13,32.606624603271484,33.88425553836176,32.53914332267379,33.88425553836176,29861000,33.96100595302082,34.43629723289669,34.68087176578182,34.89280841256145,-0.4752912798758686,-0.2342560034940911,-0.2410352763817775,25.021581516889
2016-01-14,32.840545654296875,33.13296215821453,32.05327229957058,32.674092337977115,31838800,33.78862744552483,34.31809341225967,34.60870211435104,34.872387887603594,-0.5294659667348398,-0.2932979961422409,-0.2361679705925989,25.787115751552292
2016-01-15,32.16574478149414,32.3816841587443,31.792351395957382,31.985795872492336,29103000,33.53895318952011,34.15866018035111,34.512899866003714,34.8454561154035,-0.6197069908310056,-0.3585797950799938,-0.2611271957510117,23.236154579960314
2016-01-19,32.2872200012207,32.66511319004885,31.958816298316503,32.521154697219366,23245200,33.34637885285866,34.020034981897005,34.42561830267889,34.82000102969024,-0.673656129038342,-0.4215950618716635,-0.2520610671666785,23.646120889270648
