Price,Close,EMA_12,EMA_26,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist
Ticker,SPY,,,,,,,,
Date,,,,,,,,,
2015-01-02,171.0937042236328,171.0937042236328,171.0937042236328,171.0937042236328,171.0937042236328,,0.0,0.0,0.0
2015-01-05,168.00381469726562,170.6183366041917,170.864823517976,170.97253208534391,171.06295905421624,0.0,-0.24648691378428111,-0.049297382756856224,-0.1971895310274249
2015-01-06,166.42137145996094,169.97264965892543,170.53567892108597,170.794055198074,171.01677410302963,0.0,-0.5630292621605406,-0.15204375863759312,-0.4109855035229475
2015-01-07,168.4951934814453,169.74534870854387,170.38453185148296,170.70390375820622,170.991683748586,33.40846310793209,-0.6391831429390891,-0.24947163549789234,-0.38971150744119676
2015-01-08,171.48507690429688,170.01299920019818,170.46605370724694,170.7345379992294,170.99659313321996,56.15254274729025,-0.45305450704876193,-0.29018820980806626,-0.16286629724069568
2015-01-09,170.11090087890625,170.0280609969225,170.43974609033282,170.71008164156967,170.9877802749681,48.032515986547786,-0.4116850934103127,-0.31448758652851555,-0.09719750688179712
2015-01-12,168.7783660888672,169.83580024183706,170.31668090503908,170.6343280904833,170.96579605421087,41.730714396445535,-0.48088066320201506,-0.3477662018632155,-0.13311446133879956
2015-01-13,168.30361938476562,169.60008010997993,170.16756523687067,170.54292774908262,170.93930673411688,39.73074134657276,-0.5674851268907446,-0.3917099868687213,-0.17577514002202327
2015-01-14,167.28750610351562,169.2442994936008,169.9542275232888,170.41526415513883,170.9029704094343,35.77840289848079,-0.7099280296880011,-0.4553535954325773,-0.25457443425542375
2015-01-15,165.75511169433594,168.70750137063698,169.64318190632935,170.2325130782446,170.8517479346572,30.8019609857612,-0.9356805356923701,-0.5514189834845359,-0.3842615522078342
2015-01-16,167.92886352539062,168.58771093290676,169.51619535959315,170.14217388009348,170.82266450769933,42.92860347161994,-0.9284844266863956,-0.6268320721249079,-0.30165235456148776
2015-01-20,168.28701782226562,168.54145045434657,169.42514517164298,170.06942266213946,170.79743419242138,44.64972469699594,-0.8836947172964074,-0.6782046011592078,-0.20549011613719959
2015-01-21,169.13644409179688,168.63298793703123,169.4037599064692,170.03283526722407,170.78090692773856,48.60819200719855,-0.7707719694379591,-0.6967180748149581,-0.07405389462300105
2015-01-22,171.6516876220703,169.09740327319108,169.5702730705878,170.09631967329648,170.78957141225928,58.15198795897378,-0.47286979739672574,-0.6519484193313116,0.1790786219345859
2015-01-23,170.71060180664062,169.34558766295254,169.65474186585098,170.12040916872175,170.7887856450392,54.10355526346688,-0.30915420289844064,-0.5833895760447375,0.27423537314629687
2015-01-26,171.1103515625,169.61708980134446,169.7625648063435,170.159230439066,170.79198530590946,55.52009850849787,-0.1454750049990423,-0.4958066618355985,0.3503316568365562
2015-01-27,168.85337829589844,169.49959572358352,169.69521765742164,170.10802055109863,170.77269568391932,46.74743502885991,-0.19562193383811177,-0.43576971623610117,0.2401477823979894
2015-01-28,166.68785095214844,169.0670196049012,169.47244975332734,169.97389625310058,170.7320504627077,40.186271055501514,-0.40543014842614866,-0.4297018026741107,0.024271654247962016
2015-01-29,168.2286834716797,168.9380448151748,169.38031891764973,169.90545653618213,170.70714133841886,45.99442533497246,-0.4422741024749257,-0.4322162626342737,-0.010057839840652005
2015-01-30,166.11326599121094,168.5034634576419,169.13831499717278,169.7567431814774,170.6614311359591,40.220047692985176,-0.6348515395308709,-0.4727433180135932,-0.16210822151727772
2015-02-02,168.1703338623047,168.45221275066694,169.06661269088627,169.69453105131376,170.6366440984103,47.166267114708035,-0.6143999402193288,-0.5010746424547403,-0.11332529776458844
2015-02-03,170.60231018066406,168.7829969706665,169.18036806049943,169.7301302328569,170.63630246738796,53.975216310083226,-0.39737108983294434,-0.48033393193038115,0.08296284209743682
2015-02-04,169.9527130126953,168.96295328482478,169.23757879769911,169.73885896932117,170.62950058226664,52.04580854543576,-0.2746255128743371,-0.43919224811917235,0.16456673524483523
2015-02-05,171.6683807373047,169.37917289289862,169.41763820063287,169.81452648963426,170.6398376982372,56.4714624531153,-0.03846530773424206,-0.35904686004218633,0.3205815523079443
2015-02-06,171.193603515625,169.65831606562577,169.54919118692857,169.8686079416339,170.6453478058729,54.95985904439786,0.10912487869720167,-0.26541251229430873,0.3745373909915104
2015-02-09,170.42735290527344,169.77662942557157,169.61424020310227,169.89051950883547,170.64317870238435,52.51659163425712,0.16238922246930088,-0.17985216534158682,0.3422413878108877
2015-02-10,172.2430419921875,170.15607751274325,169.80896626155302,169.98277529249634,170.65909774009384,57.35446295883808,0.3471112511902277,-0.07445948203522393,0.4215707332254516
2015-02-11,172.34298706054688,170.49252513548228,169.99667150592293,170.07533261673362,170.6758528577103,57.61048388035617,0.495853629559349,0.039603140283690656,0.4562504892756583
2015-02-12,174.00035095214844,171.0321906457386,170.29324035379148,170.22925490439695,170.70893244073955,61.71508314990751,0.738950291947134,0.17947257061637933,0.5594777213307547
2015-02-13,174.71664428710938,171.59902966748797,170.62089990440762,170.40523095862096,170.74881017055418,63.366106093335496,0.9781297630803465,0.33920400910917275,0.6389257539711737
2015-02-17,174.991455078125,172.12094126912444,170.94464473209038,170.58508288487602,170.79102554276884,64.00741314750142,1.1762965370340623,0.5066225146941506,0.6696740223399117
2015-02-18,175.00811767578125,172.56512225476396,171.24564272791935,170.7585352296174,170.8329866585202,64.04850857042047,1.3194795268446171,0.669193917124244,0.6502856097203731
2015-02-19,174.88314819335938,172.92174162993248,171.5150875772112,170.92028475760728,170.87328677329475,63.463248843124596,1.4066540527212794,0.8166859442436512,0.5899681084776283
