Price,Close,EMA_8,EMA_21,EMA_50,EMA_200
Ticker,SPY,,,,
Date,,,,,
2015-01-02,171.09373474121094,171.09373474121094,171.09373474121094,171.09373474121094,171.09373474121094
2015-01-05,168.00376892089844,170.4070756700304,170.81282875754616,170.97255961100262,171.06298881265062
2015-01-06,166.42137145996094,169.5213636233483,170.4136053668566,170.79408164429512,171.0168035653602
2015-01-07,168.49517822265625,169.2933224231945,170.239202899202,170.70392856893673,170.99171276593032
2015-01-08,171.48509216308594,169.7803823653926,170.3524655595551,170.73456243537396,170.99662201366323
2015-01-09,170.11090087890625,169.8538309239512,170.33050513404157,170.71010511943405,170.98780886804377
2015-01-12,168.77838134765625,169.61484212921897,170.1894029716429,170.634351246031,170.96582451460708
2015-01-13,168.3036651611328,169.32346946964427,170.01797226159653,170.54295179172126,170.93933536681132
2015-01-14,167.28749084472656,168.87102977521812,169.7697466782447,170.41528665654502,170.90299860539756
2015-01-15,165.7550506591797,168.17858997165402,169.40477431287516,170.23253230370716,170.85177524274863
2015-01-16,167.92884826660156,168.1230918149757,169.27059921775938,170.14219175323242,170.8226913922397
2015-01-20,168.28700256347656,168.15951642575368,169.1811813400973,170.0694392359871,170.79746065762515
2015-01-21,169.13644409179688,168.37661146265216,169.17711431752454,170.0328511911169,170.78093312960698
2015-01-22,171.6517333984375,169.10441633727112,169.40207968851664,170.09633676787456,170.78959780889883
2015-01-23,170.7105712890625,169.46133965989142,169.52103347038442,170.12042439615644,170.78881147536814
2015-01-26,171.1103515625,169.82778674936,169.66551693330402,170.15924506934638,170.79201087922021
2015-01-27,168.85328674316406,169.61123119242757,169.59167782510949,170.10803101733924,170.77272009179677
2015-01-28,166.68789672851562,168.96160131155824,169.32769772541914,169.97390810405204,170.73207508320692
2015-01-29,168.2286834716797,168.7987306804741,169.22778733871556,169.9054679223904,170.707165713938
2015-01-30,166.11318969726562,168.20194379531668,168.94464209858373,169.75675112924824,170.661454509792
2015-02-02,168.17039489746094,168.1949329291265,168.87425598939075,169.69454108094286,170.63666784698276
2015-02-03,170.60235595703125,168.72991582421645,169.03135598644897,169.73014166431886,170.63632643514245
2015-02-04,169.95266723632812,169.00163836024126,169.1151115546198,169.73886815733883,170.6295238560498
2015-02-05,171.66836547851562,169.59424438652445,169.34722554770124,169.8145347189536,170.63986058861164
2015-02-06,171.1936492919922,169.94966769885062,169.51508225172768,169.8686176433865,170.64537092396867
2015-02-09,170.42739868164062,170.05583013947063,169.59802010899247,169.8905306252788,170.64320204593557
2015-02-10,172.24305725097656,170.54188060869416,169.838478030991,169.98278657138462,170.65912100319966
2015-02-11,172.34298706054688,170.94212648688364,170.06616067004154,170.07534345331257,170.67587588934242
2015-02-12,174.00038146972656,171.62173870529318,170.42381710637653,170.2292665127798,170.70895554685868
2015-02-13,174.7166290283203,172.30949211041033,170.81407273564415,170.40524151338923,170.74883289493292
2015-02-17,174.991455078125,172.9054838810136,171.19383476677876,170.58509302573182,170.79104804103434
2015-02-18,175.0081329345703,173.37273922624843,171.5405891456689,170.75854557117648,170.83300908475113
2015-02-19,174.8831787109375,173.70839244506823,171.84446092432967,170.9202958903828,170.87330928003658
2015-02-20,175.9326171875,174.20266461005306,172.21611149370878,171.11685750987758,170.92365065225016
2015-02-23,175.9075927734375,174.5815375352496,172.55170070095684,171.30472948099757,170.9732421161426
2015-02-24,176.40724182128906,174.98724959881392,172.90220443916886,171.50482800414625,171.02731176495
2015-02-25,176.25738525390625,175.2695019666122,173.20722087687224,171.6912027982545,171.07935229717845
2015-02-26,176.04922485351562,175.44277371925742,173.4655848747489,171.862105623951,171.1288037654007
2015-02-27,175.44956970214844,175.44428393767765,173.64594713178522,172.00279048976267,171.17179646128875
2015-03-02,176.55728149414062,175.69161672800274,173.91061389199933,172.18139798013044,171.22538337703853
2015-03-03,175.83262634277344,175.7229521979518,174.08534229661515,172.32458340611646,171.27122659062795
2015-03-04,175.09136962890625,175.58260051594166,174.17679932682344,172.43308482661803,171.30923796414316
2015-03-05,175.28298950195312,175.51602029061087,174.27736207001703,172.54484579427825,171.34877778043978
2015-03-06,172.81773376464844,174.91640106261923,174.14466858771078,172.55554728331236,171.36339425789458
2015-03-09,173.53395080566406,174.60918989440697,174.0891487893429,172.59391604889478,171.38499183548433
2015-03-10,170.71890258789062,173.74468160407,173.78276277102904,172.52038610924757,171.37836408177694
2015-03-11,170.31915283203125,172.9834529880614,173.46788914021104,172.43406323563124,171.3678246663566
2015-03-12,172.48460388183594,172.8725976311224,173.37849957126784,172.43604522175693,171.3789368973564
2015-03-13,171.42681884765625,172.5513134570188,173.2010740509395,172.39646771689024,171.37941333467282
2015-03-16,173.71719360351562,172.8103979340181,173.2479940102646,172.44826088891477,171.4026748298852
2015-03-17,173.20082092285156,172.89715859820333,173.2437055477725,172.47777304710837,171.42056683081026
2015-03-18,175.28298950195312,173.42734324348106,173.42909499815255,172.58778153553365,171.4589988971898
2015-03-19,174.48341369628906,173.6620255663273,173.52494215252858,172.66212005164172,171.4890925767828
2015-03-20,176.02354431152344,174.1868075097042,173.75208780334628,172.7939406108528,171.53421149951654
2015-03-23,175.68055725097656,174.5187518966536,173.9274032076763,172.90714126340666,171.57546867117287
2015-03-24,174.6934051513672,174.5575637310344,173.99703974801182,172.9771908276404,171.6064929147569
2015-03-25,172.13348388671875,174.0188793211865,173.82762557880335,172.9441042809376,171.6117366060202
2015-03-26,171.7235870361328,173.50881436895233,173.63634934765147,172.8962408595727,171.61284954562333
2015-03-27,172.1167755126953,173.19947240089522,173.49820627174637,172.86567359106772,171.61786373435044
