Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2015-12-18,102.28407287597656,104.19322226758786,102.28407287597656,103.96039865115627,53746100
2015-12-21,103.42028045654297,103.43890322446089,102.48898574592201,103.25264712442261,26432800
2015-12-22,104.10013580322266,104.24914638773238,103.42029455074034,103.96975509438452,26540300
2015-12-23,104.87309265136719,104.94759792971728,104.4540128947732,104.64026898543399,25656900
2015-12-24,104.85445404052734,105.14316019376933,104.80789357434973,104.87308391116945,11468600
2015-12-28,104.7986068725586,104.81723674821973,103.84868926509736,104.60303580941115,19183600
2015-12-29,106.44698333740234,106.67980700427749,105.35736317646369,105.42255351898015,27725700
2015-12-30,105.48773193359375,106.3910887957576,105.46910916864384,106.35383616064415,19520100
2015-12-31,104.17461395263672,105.31079449523483,104.15598408181917,105.11522348293393,29886800
2016-01-04,101.97676086425781,102.06988890519149,100.6915768468593,101.93019329118394,50807600
2016-01-05,101.79981231689453,102.61004119161167,101.32485717794928,102.47966051364074,38795200
2016-01-06,100.82197570800781,101.40868886639376,100.03037655948904,100.03037655948904,41891100
2016-01-07,97.66485595703125,99.9185869229535,97.6089734559531,98.67064860866734,61386300
2016-01-08,96.86395263671875,98.98730317256744,96.76150966304061,98.37264533049867,69344000
2016-01-11,97.16194152832031,97.84178242691371,95.67187198495257,97.5530834512271,50024100
2016-01-12,98.2888412475586,98.79174122670759,96.92915186921407,98.09327021764751,46734200
2016-01-13,94.89893341064453,98.93144125441401,94.74992284490749,98.68930263769873,69870700
2016-01-14,96.91983795166016,97.76731952873028,93.7534345895972,95.2714494792471,78445700
2016-01-15,93.9117431640625,94.9361728985313,92.67312675775598,93.7068643223826,91443900
2016-01-19,94.11662292480469,95.33662359060668,93.017695095235,95.18761305530951,56563800
2016-01-20,93.82794952392578,94.83374959628257,90.56841777867774,92.63589333678381,86675000
2016-01-21,93.92109680175781,95.31803926416933,92.96186411440326,94.22842584874037,61660100
2016-01-22,96.64045715332031,96.67770979751583,95.48565360412086,95.8116053593124,42229800
2016-01-25,95.20626068115234,96.8453342438341,95.12244046311156,96.29587377917953,38881500
2016-01-26,96.06307983398438,96.47284479886628,94.76858036368154,95.60674727742145,36143900
2016-01-27,93.6695785522461,95.91399402835802,93.26912173548438,95.50422938473095,54524700
2016-01-28,94.99205017089844,95.2621264602845,93.37159953979597,95.22487382327809,47641500
2016-01-29,96.9757308959961,97.01298354289987,94.93619999082934,94.9641376997032,54245100
2016-02-01,97.23648834228516,97.59969272668278,96.13756025212403,96.51007246827486,32750300
2016-02-02,95.13176727294922,96.82672356094294,94.84306104723628,96.7894709155214,44928100
2016-02-03,94.6754379272461,95.76505119725091,93.01772712471367,95.76505119725091,61572900
2016-02-04,94.66610717773438,95.4204536070949,93.5392414492918,94.42396856754884,49321600
2016-02-05,91.37865447998047,94.36811013642456,91.00613511388183,94.33085748929311,70749900
2016-02-08,89.981689453125,90.38214642709714,88.3239790480494,89.67436052084575,91673100
2016-02-09,89.70230865478516,91.06199811622633,88.64063322454732,88.78032885593966,73778400
2016-02-10,90.04685974121094,91.90944858116426,89.98166941602108,90.73601562253414,59421700
2016-02-11,89.91648864746094,90.63358230076459,88.64992753326126,88.90137392708601,76839200
2016-02-12,91.28547668457031,91.37861181151827,90.08411312532294,90.93158735989097,49186500
2016-02-16,93.34365844726562,93.34365844726562,92.05846738548264,92.63587258028468,40565900
2016-02-17,95.45771789550781,95.5880986003137,93.78138439769562,94.0235230374275,41766500
2016-02-18,94.36808013916016,95.77432981897725,94.24700729816499,95.7557070539392,38991500
2016-02-19,94.64746856689453,94.93617472726696,93.70686612743835,93.91174497306478,28257900
2016-02-22,96.18411254882812,96.27724059494795,95.43908107465501,95.53220912077484,23979100
2016-02-23,94.60092163085938,95.88610581739366,94.53573128310506,95.6253444263764,29869700
2016-02-24,95.50428771972656,95.62535348982642,92.91528212228795,93.49268747513524,40739100
2016-02-25,96.44486999511719,96.44486999511719,94.84304208827218,95.69983855126397,29389300
2016-02-26,96.3238296508789,97.19924911109615,96.09100593105228,97.18061923458902,30925000
2016-02-29,95.45771789550781,96.94778816844337,95.45771789550781,96.23069429201097,27553900
2016-03-01,98.52166748046875,98.52166748046875,96.07236496951887,96.37037899026264,37699800
2016-03-02,98.55888366699219,98.57750642786918,97.7952225772176,98.40056533129538,29209800
2016-03-03,98.37264251708984,98.48440042296446,97.66486376219166,98.45646272279923,25474600
2016-03-04,98.40989685058594,99.0431774510429,97.75799348476868,98.48440212245471,31655400
2016-03-07,97.80455017089844,98.47508338137551,97.10607926085373,97.90699313945541,25861200
2016-03-08,96.99434661865234,97.98151674929916,96.82671328465432,97.13404224785317,28898500
2016-03-09,97.61830139160156,97.63692415763248,96.81738745320546,97.35754003588451,31047400
2016-03-10,97.46932983398438,98.58688089700175,96.21207600656936,98.02810536549306,44236100
2016-03-11,99.17354583740234,99.17354583740234,98.2143136728779,98.52164255235066,31454000
2016-03-14,99.3412094116211,99.57403309943602,98.77311904493547,98.80105675063885,25374900
2016-03-15,99.303955078125,99.41571300425072,98.67067437384249,98.98731827859122,26524600
2016-03-16,100.18868255615234,100.44944392757469,99.03387204668982,99.06181685524034,31693100
2016-03-17,100.1328125,100.36563619704775,99.52747657184815,99.89998880295227,29623700
2016-03-18,100.28971862792969,100.54191092252734,99.75730633818756,100.37378035069874,37682300
2016-03-21,100.68204498291016,100.7754492948516,100.05622825398106,100.11226941588748,17288600
2016-03-22,100.9902572631836,101.22377154060156,100.09356329305345,100.1122412996792,18840300
2016-03-23,100.15896606445312,100.86884447195416,99.934787184545,100.79412530494302,20912900
